NUMERO,NOMBRE,TFG,2FG,3PT,FT,PTS,PTS_PER_MATCH,ORB,ORB_PER_MATCH,DRB,DRB_PER_MATCH,TR,TR_PER_MATCH,PF,PF_PER_MATCH,FD,FD_PER_MATCH,AST,AST_PER_MATCH,_TO,_TO_PER_MATCH,BS,BS_PER_MATCH,ST,ST_PER_MATCH,TIME_PLAYED_IN_SEC,TOTAL_MATCHES
4,ALEX SOTO,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
5,JORGE SOTO,3/7,0/1,3/6,0/0,9,9.0,0,0.0,1,1.0,1,1.0,0,0.0,0,0.0,2,2.0,1,1.0,0,0.0,0,0.0,1326,1
6,NEQUEL,4/16,2/8,2/8,3/3,13,13.0,0,0.0,1,1.0,1,1.0,2,2.0,2,2.0,3,3.0,1,1.0,0,0.0,1,1.0,1759,1
7,ELIER,6/17,5/13,1/4,1/1,14,14.0,2,2.0,9,9.0,11,11.0,2,2.0,2,2.0,2,2.0,1,1.0,1,1.0,3,3.0,2053,1
8,ISAAC,1/2,0/0,1/2,0/0,3,3.0,0,0.0,4,4.0,4,4.0,3,3.0,2,2.0,2,2.0,5,5.0,0,0.0,0,0.0,1065,1
9,YADIEL,3/6,3/6,0/0,2/5,8,8.0,2,2.0,5,5.0,7,7.0,4,4.0,4,4.0,0,0.0,2,2.0,0,0.0,0,0.0,1353,1
10,RAMSE CIDRE,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16,1
11,JOSTEN VALENTIN,3/5,1/1,2/4,0/0,8,8.0,0,0.0,2,2.0,2,2.0,4,4.0,0,0.0,3,3.0,2,2.0,0,0.0,0,0.0,1182,1
12,JUSTIN,1/5,1/3,0/2,0/0,2,2.0,1,1.0,7,7.0,8,8.0,2,2.0,2,2.0,0,0.0,4,4.0,1,1.0,2,2.0,1107,1
13,YORIEL HERNANDEZ,3/11,3/10,0/1,2/3,8,8.0,7,7.0,4,4.0,11,11.0,0,0.0,4,4.0,1,1.0,1,1.0,0,0.0,0,0.0,1518,1
14,ARIEL LOPEZ,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
15,ALEJANDRO FIGUEROA,1/2,1/1,0/1,0/0,2,2.0,0,0.0,2,2.0,2,2.0,2,2.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,621,1
