NUMERO,NOMBRE,TFG,2FG,3PT,FT,PTS,PTS_PER_MATCH,ORB,ORB_PER_MATCH,DRB,DRB_PER_MATCH,TR,TR_PER_MATCH,PF,PF_PER_MATCH,FD,FD_PER_MATCH,AST,AST_PER_MATCH,_TO,_TO_PER_MATCH,BS,BS_PER_MATCH,ST,ST_PER_MATCH,TIME_PLAYED_IN_SEC,TOTAL_MATCHES
4,Alex,5/19,5/15,0/4,1/4,11,5.5,2,1.0,6,3.0,8,4.0,3,1.5,5,2.5,5,2.5,5,2.5,0,0.0,4,2.0,2814,2
5,Jorge Soto,4/13,1/6,3/7,1/2,12,6.0,6,3.0,2,1.0,8,4.0,1,0.5,2,1.0,4,2.0,5,2.5,0,0.0,2,1.0,2173,2
6,Negiel,7/25,5/11,2/14,6/7,22,11.0,2,1.0,8,4.0,10,5.0,5,2.5,8,4.0,4,2.0,5,2.5,0,0.0,2,1.0,3106,2
7,Eliel,12/29,7/16,5/13,3/6,32,16.0,2,1.0,8,4.0,10,5.0,1,0.5,5,2.5,7,3.5,9,4.5,1,0.5,4,2.0,3721,2
8,Isaac Rivera,5/9,4/6,1/3,7/11,18,9.0,2,1.0,5,2.5,7,3.5,1,0.5,13,6.5,8,4.0,4,2.0,0,0.0,1,0.5,2758,2
9,Janiel Medina,8/14,8/14,0/0,4/7,20,10.0,5,2.5,4,2.0,9,4.5,1,0.5,5,2.5,1,0.5,1,0.5,0,0.0,1,0.5,1878,2
10,Andres Hernandez,0/1,0/0,0/1,0/0,0,0.0,0,0.0,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,1,0.5,403,2
11,Josten Valentin,1/2,1/1,0/1,1/4,3,1.5,1,0.5,1,0.5,2,1.0,3,1.5,3,1.5,0,0.0,1,0.5,0,0.0,0,0.0,593,2
12,Justin,6/17,6/13,0/4,1/3,13,6.5,7,3.5,8,4.0,15,7.5,9,4.5,4,2.0,2,1.0,4,2.0,0,0.0,2,1.0,3120,2
13,Yoriel Hernandez,4/12,4/12,0/0,1/2,9,4.5,4,2.0,4,2.0,8,4.0,4,2.0,2,1.0,2,1.0,1,0.5,3,1.5,4,2.0,2051,2
14,Ariel Lopez,0/0,0/0,0/0,0/0,0,0.0,0,0.0,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,309,2
15,Alejandro,0/5,0/5,0/0,0/0,0,0.0,0,0.0,2,1.0,2,1.0,1,0.5,0,0.0,1,0.5,1,0.5,1,0.5,0,0.0,1074,2
6,Negiel,7/25,5/11,2/14,6/7,22,11.0,2,1.0,8,4.0,10,5.0,5,2.5,8,4.0,4,2.0,5,2.5,0,0.0,2,1.0,3106,2
7,Eliel,12/29,7/16,5/13,3/6,32,16.0,2,1.0,8,4.0,10,5.0,1,0.5,5,2.5,7,3.5,9,4.5,1,0.5,4,2.0,3721,2
9,Janiel Medina,8/14,8/14,0/0,4/7,20,10.0,5,2.5,4,2.0,9,4.5,1,0.5,5,2.5,1,0.5,1,0.5,0,0.0,1,0.5,1878,2
10,Andres Hernandez,0/1,0/0,0/1,0/0,0,0.0,0,0.0,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,1,0.5,403,2
13,Yoriel Hernandez,4/12,4/12,0/0,1/2,9,4.5,4,2.0,4,2.0,8,4.0,4,2.0,2,1.0,2,1.0,1,0.5,3,1.5,4,2.0,2051,2
15,Alejandro,0/5,0/5,0/0,0/0,0,0.0,0,0.0,2,1.0,2,1.0,1,0.5,0,0.0,1,0.5,1,0.5,1,0.5,0,0.0,1074,2
