NUMERO,NOMBRE,TFG,2FG,3PT,FT,PTS,PTS_PER_MATCH,ORB,ORB_PER_MATCH,DRB,DRB_PER_MATCH,TR,TR_PER_MATCH,PF,PF_PER_MATCH,FD,FD_PER_MATCH,AST,AST_PER_MATCH,_TO,_TO_PER_MATCH,BS,BS_PER_MATCH,ST,ST_PER_MATCH,TIME_PLAYED_IN_SEC,TOTAL_MATCHES
00,Kenneth La Santa Cruz,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
0,Pablo,2/10,1/5,1/5,0/0,5,5.0,2,2.0,1,1.0,3,3.0,2,2.0,1,1.0,0,0.0,1,1.0,0,0.0,1,1.0,1344,1
2,Juan Hernandez,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0,1,1.0,0,0.0,115,1
5,Diego Carreras,0/2,0/2,0/0,0/0,0,0.0,0,0.0,2,2.0,2,2.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,578,1
6,Gabriel Rodriguez Burgos,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
7,Carlos,2/10,2/8,0/2,0/0,4,4.0,0,0.0,1,1.0,1,1.0,2,2.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,1017,1
11,Bryan,1/11,1/9,0/2,1/2,3,3.0,0,0.0,1,1.0,1,1.0,3,3.0,2,2.0,1,1.0,1,1.0,0,0.0,0,0.0,1660,1
12,Steven Rosa Hernandez,1/3,1/2,0/1,3/4,5,5.0,1,1.0,2,2.0,3,3.0,2,2.0,3,3.0,3,3.0,3,3.0,0,0.0,1,1.0,995,1
14,Carlos,1/4,1/4,0/0,1/2,3,3.0,1,1.0,3,3.0,4,4.0,1,1.0,1,1.0,0,0.0,3,3.0,1,1.0,2,2.0,1323,1
15,Elioenai Hernandez Ortiz,2/3,2/3,0/0,2/3,6,6.0,2,2.0,2,2.0,4,4.0,3,3.0,2,2.0,1,1.0,1,1.0,0,0.0,1,1.0,1186,1
16,Andres Andujar Rivera,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
18,William Ortiz Padilla,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
23,Jamal,3/9,3/9,0/0,1/6,7,7.0,11,11.0,6,6.0,17,17.0,1,1.0,4,4.0,0,0.0,1,1.0,2,2.0,0,0.0,1302,1
25,Bryan Acevedo,1/1,1/1,0/0,0/0,2,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,80,1
