NUMERO,NOMBRE,TFG,2FG,3PT,FT,PTS,PTS_PER_MATCH,ORB,ORB_PER_MATCH,DRB,DRB_PER_MATCH,TR,TR_PER_MATCH,PF,PF_PER_MATCH,FD,FD_PER_MATCH,AST,AST_PER_MATCH,_TO,_TO_PER_MATCH,BS,BS_PER_MATCH,ST,ST_PER_MATCH,TIME_PLAYED_IN_SEC,TOTAL_MATCHES
2,Joseph Del Valle,7/19,1/3,6/16,0/0,20,10.0,0,0.0,8,4.0,8,4.0,1,0.5,0,0.0,6,3.0,5,2.5,0,0.0,1,0.5,2400,2
6,Jay,9/14,9/13,0/1,2/2,20,10.0,0,0.0,7,3.5,7,3.5,2,1.0,2,1.0,2,1.0,2,1.0,0,0.0,7,3.5,1984,2
10,Luis,14/39,9/23,5/16,3/6,36,18.0,4,2.0,5,2.5,9,4.5,3,1.5,1,0.5,6,3.0,2,1.0,1,0.5,4,2.0,4137,2
11,Frank Mota,3/8,3/7,0/1,4/8,10,5.0,6,3.0,3,1.5,9,4.5,0,0.0,7,3.5,3,1.5,0,0.0,0,0.0,3,1.5,1551,2
12,Jean Davila,3/9,3/7,0/2,1/2,7,3.5,2,1.0,8,4.0,10,5.0,4,2.0,1,0.5,4,2.0,4,2.0,0,0.0,3,1.5,2196,2
14,Alison Moreno,5/11,5/9,0/2,0/0,10,5.0,6,3.0,0,0.0,6,3.0,2,1.0,0,0.0,3,1.5,3,1.5,0,0.0,1,0.5,1670,2
15,Tom,9/16,9/13,0/3,14/21,32,16.0,6,3.0,8,4.0,14,7.0,5,2.5,8,4.0,3,1.5,5,2.5,3,1.5,0,0.0,3209,2
21,John Lopez,0/3,0/3,0/0,0/0,0,0.0,0,0.0,3,1.5,3,1.5,4,2.0,0,0.0,1,0.5,2,1.0,0,0.0,3,1.5,1506,2
22,Giancarlo Amaro,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2
23,William Onna,5/11,5/10,0/1,1/2,11,5.5,1,0.5,1,0.5,2,1.0,3,1.5,1,0.5,1,0.5,2,1.0,1,0.5,1,0.5,892,2
34,Miguel,10/18,8/16,2/2,0/0,22,11.0,5,2.5,10,5.0,15,7.5,5,2.5,1,0.5,3,1.5,5,2.5,2,1.0,2,1.0,2779,2
44,Yeriel,5/8,5/7,0/1,0/0,10,5.0,0,0.0,0,0.0,0,0.0,3,1.5,0,0.0,9,4.5,1,0.5,0,0.0,1,0.5,1676,2
2,Joseph Del Valle,7/19,1/3,6/16,0/0,20,10.0,0,0.0,8,4.0,8,4.0,1,0.5,0,0.0,6,3.0,5,2.5,0,0.0,1,0.5,2400,2
6,Jay,9/14,9/13,0/1,2/2,20,10.0,0,0.0,7,3.5,7,3.5,2,1.0,2,1.0,2,1.0,2,1.0,0,0.0,7,3.5,1984,2
12,Jean Davila,3/9,3/7,0/2,1/2,7,3.5,2,1.0,8,4.0,10,5.0,4,2.0,1,0.5,4,2.0,4,2.0,0,0.0,3,1.5,2196,2
21,John Lopez,0/3,0/3,0/0,0/0,0,0.0,0,0.0,3,1.5,3,1.5,4,2.0,0,0.0,1,0.5,2,1.0,0,0.0,3,1.5,1506,2
34,Miguel,10/18,8/16,2/2,0/0,22,11.0,5,2.5,10,5.0,15,7.5,5,2.5,1,0.5,3,1.5,5,2.5,2,1.0,2,1.0,2779,2
44,Yeriel,5/8,5/7,0/1,0/0,10,5.0,0,0.0,0,0.0,0,0.0,3,1.5,0,0.0,9,4.5,1,0.5,0,0.0,1,0.5,1676,2
