NUMERO,NOMBRE,TFG,2FG,3PT,FT,PTS,PTS_PER_MATCH,ORB,ORB_PER_MATCH,DRB,DRB_PER_MATCH,TR,TR_PER_MATCH,PF,PF_PER_MATCH,FD,FD_PER_MATCH,AST,AST_PER_MATCH,_TO,_TO_PER_MATCH,BS,BS_PER_MATCH,ST,ST_PER_MATCH,TIME_PLAYED_IN_SEC,TOTAL_MATCHES
2,Joseph Del Valle,101/216,63/106,38/110,20/30,260,23.636363636363637,22,2.0,41,3.727272727272727,63,5.7272727272727275,19,1.7272727272727273,13,1.1818181818181819,42,3.8181818181818183,19,1.7272727272727273,1,0.09090909090909091,10,0.9090909090909091,21555,11
6,Jay,68/144,57/107,11/37,12/27,159,14.454545454545455,24,2.1818181818181817,51,4.636363636363637,75,6.818181818181818,19,1.7272727272727273,17,1.5454545454545454,36,3.272727272727273,32,2.909090909090909,9,0.8181818181818182,13,1.1818181818181819,17028,11
10,Luis,53/126,37/66,16/60,36/45,158,14.363636363636363,10,0.9090909090909091,27,2.4545454545454546,37,3.3636363636363638,29,2.6363636363636362,21,1.9090909090909092,38,3.4545454545454546,24,2.1818181818181817,1,0.09090909090909091,27,2.4545454545454546,16158,11
11,Frank Moca,20/44,19/38,1/6,8/17,49,4.454545454545454,14,1.2727272727272727,26,2.3636363636363638,40,3.6363636363636362,13,1.1818181818181819,10,0.9090909090909091,8,0.7272727272727273,6,0.5454545454545454,1,0.09090909090909091,10,0.9090909090909091,5207,11
12,Jean,20/44,18/35,2/9,14/23,56,5.090909090909091,26,2.3636363636363638,48,4.363636363636363,74,6.7272727272727275,26,2.3636363636363638,13,1.1818181818181819,20,1.8181818181818181,20,1.8181818181818181,2,0.18181818181818182,8,0.7272727272727273,12736,11
14,Alison,28/51,21/38,7/13,5/9,68,6.181818181818182,6,0.5454545454545454,12,1.0909090909090908,18,1.6363636363636365,13,1.1818181818181819,7,0.6363636363636364,18,1.6363636363636365,6,0.5454545454545454,0,0.0,2,0.18181818181818182,7477,11
15,Tom Reyes,20/48,20/40,0/8,9/14,49,4.454545454545454,16,1.4545454545454546,47,4.2727272727272725,63,5.7272727272727275,24,2.1818181818181817,9,0.8181818181818182,14,1.2727272727272727,23,2.090909090909091,9,0.8181818181818182,1,0.09090909090909091,9642,11
21,John,53/80,48/65,5/15,2/7,113,10.272727272727273,10,0.9090909090909091,24,2.1818181818181817,34,3.090909090909091,22,2.0,2,0.18181818181818182,20,1.8181818181818181,10,0.9090909090909091,1,0.09090909090909091,11,1.0,13951,11
22,Giancarlo Amaro,4/18,3/9,1/9,2/3,11,1.0,4,0.36363636363636365,10,0.9090909090909091,14,1.2727272727272727,2,0.18181818181818182,2,0.18181818181818182,10,0.9090909090909091,7,0.6363636363636364,1,0.09090909090909091,6,0.5454545454545454,4067,11
23,William Onna,0/1,0/1,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.09090909090909091,0,0.0,0,0.0,1,0.09090909090909091,0,0.0,0,0.0,359,11
34,Miguel Encarnacion,54/104,44/79,10/25,14/25,132,12.0,35,3.1818181818181817,54,4.909090909090909,89,8.090909090909092,27,2.4545454545454546,10,0.9090909090909091,18,1.6363636363636365,18,1.6363636363636365,7,0.6363636363636364,11,1.0,14570,11
44,Yeriel Alvarez,22/54,17/30,5/24,5/8,54,4.909090909090909,6,0.5454545454545454,13,1.1818181818181819,19,1.7272727272727273,14,1.2727272727272727,2,0.18181818181818182,30,2.727272727272727,17,1.5454545454545454,0,0.0,10,0.9090909090909091,8739,11
2,Joseph Del Valle,101/216,63/106,38/110,20/30,260,23.636363636363637,22,2.0,41,3.727272727272727,63,5.7272727272727275,19,1.7272727272727273,13,1.1818181818181819,42,3.8181818181818183,19,1.7272727272727273,1,0.09090909090909091,10,0.9090909090909091,21555,11
6,Jay,68/144,57/107,11/37,12/27,159,14.454545454545455,24,2.1818181818181817,51,4.636363636363637,75,6.818181818181818,19,1.7272727272727273,17,1.5454545454545454,36,3.272727272727273,32,2.909090909090909,9,0.8181818181818182,13,1.1818181818181819,17028,11
10,Luis,53/126,37/66,16/60,36/45,158,14.363636363636363,10,0.9090909090909091,27,2.4545454545454546,37,3.3636363636363638,29,2.6363636363636362,21,1.9090909090909092,38,3.4545454545454546,24,2.1818181818181817,1,0.09090909090909091,27,2.4545454545454546,16158,11
11,Frank Moca,20/44,19/38,1/6,8/17,49,4.454545454545454,14,1.2727272727272727,26,2.3636363636363638,40,3.6363636363636362,13,1.1818181818181819,10,0.9090909090909091,8,0.7272727272727273,6,0.5454545454545454,1,0.09090909090909091,10,0.9090909090909091,5207,11
12,Jean,20/44,18/35,2/9,14/23,56,5.090909090909091,26,2.3636363636363638,48,4.363636363636363,74,6.7272727272727275,26,2.3636363636363638,13,1.1818181818181819,20,1.8181818181818181,20,1.8181818181818181,2,0.18181818181818182,8,0.7272727272727273,12736,11
14,Alison,28/51,21/38,7/13,5/9,68,6.181818181818182,6,0.5454545454545454,12,1.0909090909090908,18,1.6363636363636365,13,1.1818181818181819,7,0.6363636363636364,18,1.6363636363636365,6,0.5454545454545454,0,0.0,2,0.18181818181818182,7477,11
15,Tom Reyes,20/48,20/40,0/8,9/14,49,4.454545454545454,16,1.4545454545454546,47,4.2727272727272725,63,5.7272727272727275,24,2.1818181818181817,9,0.8181818181818182,14,1.2727272727272727,23,2.090909090909091,9,0.8181818181818182,1,0.09090909090909091,9642,11
21,John,53/80,48/65,5/15,2/7,113,10.272727272727273,10,0.9090909090909091,24,2.1818181818181817,34,3.090909090909091,22,2.0,2,0.18181818181818182,20,1.8181818181818181,10,0.9090909090909091,1,0.09090909090909091,11,1.0,13951,11
22,Giancarlo Amaro,4/18,3/9,1/9,2/3,11,1.0,4,0.36363636363636365,10,0.9090909090909091,14,1.2727272727272727,2,0.18181818181818182,2,0.18181818181818182,10,0.9090909090909091,7,0.6363636363636364,1,0.09090909090909091,6,0.5454545454545454,4067,11
23,William Onna,0/1,0/1,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.09090909090909091,0,0.0,0,0.0,1,0.09090909090909091,0,0.0,0,0.0,359,11
34,Miguel Encarnacion,54/104,44/79,10/25,14/25,132,12.0,35,3.1818181818181817,54,4.909090909090909,89,8.090909090909092,27,2.4545454545454546,10,0.9090909090909091,18,1.6363636363636365,18,1.6363636363636365,7,0.6363636363636364,11,1.0,14570,11
44,Yeriel Alvarez,22/54,17/30,5/24,5/8,54,4.909090909090909,6,0.5454545454545454,13,1.1818181818181819,19,1.7272727272727273,14,1.2727272727272727,2,0.18181818181818182,30,2.727272727272727,17,1.5454545454545454,0,0.0,10,0.9090909090909091,8739,11
