NUMERO,NOMBRE,TFG,2FG,3PT,FT,PTS,PTS_PER_MATCH,ORB,ORB_PER_MATCH,DRB,DRB_PER_MATCH,TR,TR_PER_MATCH,PF,PF_PER_MATCH,FD,FD_PER_MATCH,AST,AST_PER_MATCH,_TO,_TO_PER_MATCH,BS,BS_PER_MATCH,ST,ST_PER_MATCH,TIME_PLAYED_IN_SEC,TOTAL_MATCHES
4,Edgardo Padilla,12/51,10/27,2/24,11/14,37,7.4,7,1.4,4,0.8,11,2.2,5,1.0,5,1.0,9,1.8,11,2.2,1,0.2,6,1.2,5357,5
5,Enrique Lopez,3/13,1/4,2/9,3/4,11,2.2,1,0.2,5,1.0,6,1.2,4,0.8,0,0.0,6,1.2,0,0.0,0,0.0,4,0.8,3134,5
6,Jean Rivera,34/62,32/55,2/7,22/27,92,18.4,5,1.0,11,2.2,16,3.2,10,2.0,11,2.2,12,2.4,8,1.6,0,0.0,6,1.2,7344,5
7,Alexander,16/43,13/30,3/13,9/22,44,8.8,2,0.4,10,2.0,12,2.4,9,1.8,14,2.8,16,3.2,13,2.6,0,0.0,13,2.6,5201,5
8,Jesus,18/40,6/17,12/23,2/2,50,10.0,3,0.6,11,2.2,14,2.8,3,0.6,0,0.0,10,2.0,12,2.4,0,0.0,5,1.0,5839,5
9,Geovanni Jeeampiere,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5
10,Sebastian Santiago,6/25,2/10,4/15,6/6,22,4.4,8,1.6,27,5.4,35,7.0,13,2.6,6,1.2,2,0.4,6,1.2,4,0.8,4,0.8,6347,5
11,Roberto Ramirez,5/12,3/5,2/7,3/4,15,3.0,2,0.4,9,1.8,11,2.2,3,0.6,1,0.2,4,0.8,2,0.4,0,0.0,0,0.0,3719,5
12,Alejandro,10/20,9/18,1/2,1/3,22,4.4,8,1.6,10,2.0,18,3.6,7,1.4,0,0.0,4,0.8,4,0.8,5,1.0,2,0.4,4721,5
13,Bryan,27/69,22/46,5/23,17/19,76,15.2,9,1.8,33,6.6,42,8.4,18,3.6,1,0.2,9,1.8,15,3.0,2,0.4,2,0.4,8689,5
14,Charlie,11/29,8/22,3/7,5/10,30,6.0,15,3.0,19,3.8,34,6.8,15,3.0,2,0.4,0,0.0,6,1.2,6,1.2,6,1.2,6945,5
15,Carlos Barea,6/11,6/11,0/0,1/3,13,2.6,5,1.0,13,2.6,18,3.6,3,0.6,4,0.8,0,0.0,5,1.0,1,0.2,2,0.4,2699,5
