NUMERO,NOMBRE,TFG,2FG,3PT,FT,PTS,PTS_PER_MATCH,ORB,ORB_PER_MATCH,DRB,DRB_PER_MATCH,TR,TR_PER_MATCH,PF,PF_PER_MATCH,FD,FD_PER_MATCH,AST,AST_PER_MATCH,_TO,_TO_PER_MATCH,BS,BS_PER_MATCH,ST,ST_PER_MATCH,TIME_PLAYED_IN_SEC,TOTAL_MATCHES
4,Edgar,24/73,11/37,13/36,9/16,70,7.0,8,0.8,15,1.5,23,2.3,16,1.6,9,0.9,8,0.8,15,1.5,2,0.2,8,0.8,8302,10
5,Enrique,15/52,9/20,6/32,5/7,41,4.1,2,0.2,7,0.7,9,0.9,11,1.1,4,0.4,8,0.8,8,0.8,0,0.0,6,0.6,7929,10
6,Gian Paul Rivera,53/113,49/99,4/14,35/47,145,14.5,21,2.1,26,2.6,47,4.7,18,1.8,40,4.0,36,3.6,22,2.2,2,0.2,15,1.5,15210,10
7,Alexander Matos,32/86,24/50,8/36,23/34,95,9.5,10,1.0,29,2.9,39,3.9,26,2.6,29,2.9,34,3.4,20,2.0,0,0.0,22,2.2,12134,10
8,Jesus,33/107,25/61,8/46,8/12,82,8.2,16,1.6,17,1.7,33,3.3,20,2.0,10,1.0,19,1.9,17,1.7,0,0.0,14,1.4,12959,10
9,Geovanny Yeampierre,5/14,5/14,0/0,2/4,12,1.2,2,0.2,6,0.6,8,0.8,9,0.9,6,0.6,3,0.3,7,0.7,1,0.1,1,0.1,1751,10
10,Sebastian Santiago,12/38,9/28,3/10,12/19,39,3.9,16,1.6,36,3.6,52,5.2,21,2.1,16,1.6,9,0.9,9,0.9,12,1.2,2,0.2,10053,10
11,Roberto Ramirez,15/43,11/20,4/23,2/2,36,3.6,6,0.6,14,1.4,20,2.0,6,0.6,4,0.4,5,0.5,4,0.4,0,0.0,3,0.3,7511,10
12,Alejandro,16/30,16/30,0/0,5/10,37,3.7,9,0.9,17,1.7,26,2.6,22,2.2,5,0.5,12,1.2,8,0.8,2,0.2,5,0.5,9048,10
14,Charlie,16/48,15/43,1/5,9/29,42,4.2,21,2.1,38,3.8,59,5.9,13,1.3,16,1.6,10,1.0,18,1.8,13,1.3,6,0.6,12412,10
15,Carlos Barea,10/27,9/23,1/4,6/17,27,2.7,17,1.7,28,2.8,45,4.5,10,1.0,7,0.7,5,0.5,10,1.0,8,0.8,1,0.1,8521,10
13,Bryant Rodriguea,67/134,56/94,11/40,37/54,182,18.2,25,2.5,63,6.3,88,8.8,19,1.9,35,3.5,13,1.3,22,2.2,8,0.8,18,1.8,16832,10
4,Edgar,24/73,11/37,13/36,9/16,70,7.0,8,0.8,15,1.5,23,2.3,16,1.6,9,0.9,8,0.8,15,1.5,2,0.2,8,0.8,8302,10
5,Enrique,15/52,9/20,6/32,5/7,41,4.1,2,0.2,7,0.7,9,0.9,11,1.1,4,0.4,8,0.8,8,0.8,0,0.0,6,0.6,7929,10
7,Alexander Matos,32/86,24/50,8/36,23/34,95,9.5,10,1.0,29,2.9,39,3.9,26,2.6,29,2.9,34,3.4,20,2.0,0,0.0,22,2.2,12134,10
9,Geovanny Yeampierre,5/14,5/14,0/0,2/4,12,1.2,2,0.2,6,0.6,8,0.8,9,0.9,6,0.6,3,0.3,7,0.7,1,0.1,1,0.1,1751,10
13,Bryant Rodriguea,67/134,56/94,11/40,37/54,182,18.2,25,2.5,63,6.3,88,8.8,19,1.9,35,3.5,13,1.3,22,2.2,8,0.8,18,1.8,16832,10
6,Gian Paul Rivera,53/113,49/99,4/14,35/47,145,14.5,21,2.1,26,2.6,47,4.7,18,1.8,40,4.0,36,3.6,22,2.2,2,0.2,15,1.5,15210,10
12,Alejandro,16/30,16/30,0/0,5/10,37,3.7,9,0.9,17,1.7,26,2.6,22,2.2,5,0.5,12,1.2,8,0.8,2,0.2,5,0.5,9048,10
13,Bryant Rodriguea,67/134,56/94,11/40,37/54,182,18.2,25,2.5,63,6.3,88,8.8,19,1.9,35,3.5,13,1.3,22,2.2,8,0.8,18,1.8,16832,10
15,Carlos Barea,10/27,9/23,1/4,6/17,27,2.7,17,1.7,28,2.8,45,4.5,10,1.0,7,0.7,5,0.5,10,1.0,8,0.8,1,0.1,8521,10
4,Edgar,24/73,11/37,13/36,9/16,70,7.0,8,0.8,15,1.5,23,2.3,16,1.6,9,0.9,8,0.8,15,1.5,2,0.2,8,0.8,8302,10
6,Gian Paul Rivera,53/113,49/99,4/14,35/47,145,14.5,21,2.1,26,2.6,47,4.7,18,1.8,40,4.0,36,3.6,22,2.2,2,0.2,15,1.5,15210,10
9,Geovanny Yeampierre,5/14,5/14,0/0,2/4,12,1.2,2,0.2,6,0.6,8,0.8,9,0.9,6,0.6,3,0.3,7,0.7,1,0.1,1,0.1,1751,10
12,Alejandro,16/30,16/30,0/0,5/10,37,3.7,9,0.9,17,1.7,26,2.6,22,2.2,5,0.5,12,1.2,8,0.8,2,0.2,5,0.5,9048,10
13,Bryant Rodriguea,67/134,56/94,11/40,37/54,182,18.2,25,2.5,63,6.3,88,8.8,19,1.9,35,3.5,13,1.3,22,2.2,8,0.8,18,1.8,16832,10
14,Charlie,16/48,15/43,1/5,9/29,42,4.2,21,2.1,38,3.8,59,5.9,13,1.3,16,1.6,10,1.0,18,1.8,13,1.3,6,0.6,12412,10
10,Sebastian Santiago,12/38,9/28,3/10,12/19,39,3.9,16,1.6,36,3.6,52,5.2,21,2.1,16,1.6,9,0.9,9,0.9,12,1.2,2,0.2,10053,10
