NUMERO,NOMBRE,TFG,2FG,3PT,FT,PTS,PTS_PER_MATCH,ORB,ORB_PER_MATCH,DRB,DRB_PER_MATCH,TR,TR_PER_MATCH,PF,PF_PER_MATCH,FD,FD_PER_MATCH,AST,AST_PER_MATCH,_TO,_TO_PER_MATCH,BS,BS_PER_MATCH,ST,ST_PER_MATCH,TIME_PLAYED_IN_SEC,TOTAL_MATCHES
4,Erick Perez,2/2,2/2,0/0,0/0,4,0.4444444444444444,0,0.0,2,0.2222222222222222,2,0.2222222222222222,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,608,9
5,Miguel Santiago,18/47,18/42,0/5,9/18,45,5.0,12,1.3333333333333333,17,1.8888888888888888,29,3.2222222222222223,28,3.111111111111111,6,0.6666666666666666,8,0.8888888888888888,9,1.0,4,0.4444444444444444,12,1.3333333333333333,8336,9
6,Miguel,14/31,14/29,0/2,4/13,32,3.5555555555555554,3,0.3333333333333333,15,1.6666666666666667,18,2.0,13,1.4444444444444444,1,0.1111111111111111,14,1.5555555555555556,11,1.2222222222222223,3,0.3333333333333333,9,1.0,6485,9
7,Erick,56/104,52/91,4/13,18/29,134,14.88888888888889,33,3.6666666666666665,63,7.0,96,10.666666666666666,22,2.4444444444444446,11,1.2222222222222223,11,1.2222222222222223,22,2.4444444444444446,17,1.8888888888888888,13,1.4444444444444444,11735,9
8,Bryan,46/106,40/74,6/32,19/24,117,13.0,20,2.2222222222222223,39,4.333333333333333,59,6.555555555555555,14,1.5555555555555556,10,1.1111111111111112,33,3.6666666666666665,14,1.5555555555555556,3,0.3333333333333333,10,1.1111111111111112,14116,9
9,Jose Caraballo,2/14,0/2,2/12,0/0,6,0.6666666666666666,2,0.2222222222222222,4,0.4444444444444444,6,0.6666666666666666,4,0.4444444444444444,0,0.0,0,0.0,6,0.6666666666666666,0,0.0,2,0.2222222222222222,2689,9
10,Luis Villafane,8/33,5/13,3/20,5/7,24,2.6666666666666665,3,0.3333333333333333,23,2.5555555555555554,26,2.888888888888889,13,1.4444444444444444,3,0.3333333333333333,5,0.5555555555555556,8,0.8888888888888888,1,0.1111111111111111,4,0.4444444444444444,6631,9
11,Christopher Corujo,17/35,15/27,2/8,2/6,38,4.222222222222222,5,0.5555555555555556,24,2.6666666666666665,29,3.2222222222222223,21,2.3333333333333335,3,0.3333333333333333,50,5.555555555555555,24,2.6666666666666665,0,0.0,12,1.3333333333333333,10239,9
12,Erick,50/96,50/93,0/3,23/34,123,13.666666666666666,25,2.7777777777777777,38,4.222222222222222,63,7.0,16,1.7777777777777777,11,1.2222222222222223,8,0.8888888888888888,16,1.7777777777777777,18,2.0,4,0.4444444444444444,13035,9
13,Victor,52/130,25/53,27/77,8/11,139,15.444444444444445,7,0.7777777777777778,30,3.3333333333333335,37,4.111111111111111,10,1.1111111111111112,1,0.1111111111111111,18,2.0,18,2.0,2,0.2222222222222222,14,1.5555555555555556,13023,9
14,Sebastian Martinez,24/68,19/45,5/23,14/22,67,7.444444444444445,19,2.111111111111111,45,5.0,64,7.111111111111111,19,2.111111111111111,11,1.2222222222222223,20,2.2222222222222223,19,2.111111111111111,16,1.7777777777777777,4,0.4444444444444444,11920,9
