NUMERO,NOMBRE,TFG,2FG,3PT,FT,PTS,PTS_PER_MATCH,ORB,ORB_PER_MATCH,DRB,DRB_PER_MATCH,TR,TR_PER_MATCH,PF,PF_PER_MATCH,FD,FD_PER_MATCH,AST,AST_PER_MATCH,_TO,_TO_PER_MATCH,BS,BS_PER_MATCH,ST,ST_PER_MATCH,TIME_PLAYED_IN_SEC,TOTAL_MATCHES
4,Eric Perez,7/14,7/13,0/1,4/5,18,2.25,7,0.875,7,0.875,14,1.75,8,1.0,3,0.375,0,0.0,3,0.375,0,0.0,3,0.375,2530,8
5,Miguel Santiago,16/32,15/28,1/4,7/16,40,5.0,11,1.375,25,3.125,36,4.5,20,2.5,5,0.625,8,1.0,8,1.0,2,0.25,6,0.75,8276,8
6,Miguel,12/24,11/22,1/2,1/4,26,3.25,3,0.375,21,2.625,24,3.0,11,1.375,8,1.0,11,1.375,16,2.0,0,0.0,12,1.5,5281,8
7,Eric,37/66,34/50,3/16,18/34,95,11.875,12,1.5,26,3.25,38,4.75,12,1.5,14,1.75,9,1.125,12,1.5,7,0.875,9,1.125,8765,8
8,Bryan,48/125,33/76,15/49,36/54,147,18.375,18,2.25,34,4.25,52,6.5,20,2.5,28,3.5,46,5.75,18,2.25,1,0.125,17,2.125,15210,8
9,Jose Caraballo,13/29,5/7,8/22,4/6,38,4.75,4,0.5,7,0.875,11,1.375,5,0.625,1,0.125,4,0.5,4,0.5,1,0.125,3,0.375,3603,8
10,Luis Villafane,1/17,0/7,1/10,2/4,5,0.625,1,0.125,5,0.625,6,0.75,7,0.875,5,0.625,3,0.375,6,0.75,0,0.0,1,0.125,4249,8
11,Christopher Corrujo,10/26,6/10,4/16,5/7,29,3.625,2,0.25,3,0.375,5,0.625,13,1.625,3,0.375,18,2.25,4,0.5,0,0.0,4,0.5,5713,8
12,Eric,42/94,42/92,0/2,15/23,99,12.375,26,3.25,39,4.875,65,8.125,22,2.75,13,1.625,8,1.0,18,2.25,9,1.125,8,1.0,13215,8
13,Victor Carrillo,38/100,18/31,20/69,10/14,106,13.25,7,0.875,29,3.625,36,4.5,12,1.5,7,0.875,8,1.0,16,2.0,2,0.25,12,1.5,11925,8
14,Sebastian,35/75,29/57,6/18,12/24,88,11.0,25,3.125,47,5.875,72,9.0,25,3.125,12,1.5,21,2.625,18,2.25,8,1.0,5,0.625,15468,8
15,Gabriel Martinez,2/6,2/6,0/0,2/3,6,0.75,2,0.25,9,1.125,11,1.375,5,0.625,4,0.5,0,0.0,0,0.0,3,0.375,2,0.25,1697,8
