NUMERO,NOMBRE,TFG,2FG,3PT,FT,PTS,PTS_PER_MATCH,ORB,ORB_PER_MATCH,DRB,DRB_PER_MATCH,TR,TR_PER_MATCH,PF,PF_PER_MATCH,FD,FD_PER_MATCH,AST,AST_PER_MATCH,_TO,_TO_PER_MATCH,BS,BS_PER_MATCH,ST,ST_PER_MATCH,TIME_PLAYED_IN_SEC,TOTAL_MATCHES
4,MICHAEL,2/9,2/5,0/4,5/6,9,9.0,2,2.0,5,5.0,7,7.0,3,3.0,4,4.0,4,4.0,2,2.0,0,0.0,4,4.0,2099,1
5,JORGE VELAZQUEZ,4/14,1/5,3/9,2/2,13,13.0,0,0.0,4,4.0,4,4.0,2,2.0,3,3.0,1,1.0,2,2.0,1,1.0,2,2.0,2038,1
6,RUBIEL MORALES,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
7,ADALBERTO CABASQUINI,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
8,CHRISTIAN SOLTERO,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
9,EZEQUIEL VARGAS,1/2,1/1,0/1,0/0,2,2.0,2,2.0,1,1.0,3,3.0,5,5.0,1,1.0,1,1.0,1,1.0,0,0.0,2,2.0,1366,1
10,JAYRAM,1/4,1/4,0/0,2/3,4,4.0,5,5.0,3,3.0,8,8.0,5,5.0,2,2.0,0,0.0,0,0.0,0,0.0,0,0.0,547,1
11,XAVIER,5/16,4/10,1/6,3/8,14,14.0,6,6.0,3,3.0,9,9.0,0,0.0,5,5.0,5,5.0,6,6.0,0,0.0,1,1.0,2400,1
12,JOHN,11/24,5/11,6/13,0/2,28,28.0,1,1.0,2,2.0,3,3.0,4,4.0,1,1.0,3,3.0,3,3.0,0,0.0,2,2.0,2294,1
13,JOSE,3/12,1/4,2/8,0/0,8,8.0,1,1.0,2,2.0,3,3.0,2,2.0,2,2.0,1,1.0,2,2.0,0,0.0,1,1.0,1226,1
15,SHARIFF VELEZ,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
