NUMERO,NOMBRE,TFG,2FG,3PT,FT,PTS,PTS_PER_MATCH,ORB,ORB_PER_MATCH,DRB,DRB_PER_MATCH,TR,TR_PER_MATCH,PF,PF_PER_MATCH,FD,FD_PER_MATCH,AST,AST_PER_MATCH,_TO,_TO_PER_MATCH,BS,BS_PER_MATCH,ST,ST_PER_MATCH,TIME_PLAYED_IN_SEC,TOTAL_MATCHES
4,Chris,3/16,2/9,1/7,2/2,9,9.0,3,3.0,4,4.0,7,7.0,4,4.0,2,2.0,2,2.0,3,3.0,0,0.0,2,2.0,1348,1
5,Rasheed Morales,1/6,1/3,0/3,0/0,2,2.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,859,1
6,Brian,8/20,5/9,3/11,3/3,22,22.0,2,2.0,7,7.0,9,9.0,3,3.0,3,3.0,4,4.0,2,2.0,0,0.0,2,2.0,2223,1
7,Raynond Serpa,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
8,Angel,5/22,1/5,4/17,1/2,15,15.0,5,5.0,2,2.0,7,7.0,2,2.0,1,1.0,1,1.0,0,0.0,0,0.0,6,6.0,2317,1
9,Wilfredo Rodriguez,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
10,Angel,4/16,0/4,4/12,0/0,12,12.0,2,2.0,5,5.0,7,7.0,3,3.0,0,0.0,0,0.0,1,1.0,0,0.0,1,1.0,2178,1
11,Hector,1/10,1/6,0/4,3/3,5,5.0,0,0.0,4,4.0,4,4.0,1,1.0,2,2.0,6,6.0,0,0.0,0,0.0,1,1.0,2015,1
12,Davis Freytes,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
13,Alexis Jimenez,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
14,Derek Cruz,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1
15,Peter Nazario,0/3,0/0,0/3,0/0,0,0.0,0,0.0,4,4.0,4,4.0,3,3.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1060,1
