NUMERO,NOMBRE,TFG,2FG,3PT,FT,PTS,PTS_PER_MATCH,ORB,ORB_PER_MATCH,DRB,DRB_PER_MATCH,TR,TR_PER_MATCH,PF,PF_PER_MATCH,FD,FD_PER_MATCH,AST,AST_PER_MATCH,_TO,_TO_PER_MATCH,BS,BS_PER_MATCH,ST,ST_PER_MATCH,TIME_PLAYED_IN_SEC,TOTAL_MATCHES
4,Chris,62/145,38/89,24/56,30/42,178,19.77777777777778,24,2.6666666666666665,33,3.6666666666666665,57,6.333333333333333,21,2.3333333333333335,15,1.6666666666666667,24,2.6666666666666665,30,3.3333333333333335,1,0.1111111111111111,20,2.2222222222222223,15950,9
5,Rasheed Morales,2/17,1/10,1/7,0/0,5,0.5555555555555556,3,0.3333333333333333,1,0.1111111111111111,4,0.4444444444444444,16,1.7777777777777777,2,0.2222222222222222,4,0.4444444444444444,5,0.5555555555555556,0,0.0,2,0.2222222222222222,7955,9
6,Brian,71/128,68/110,3/18,39/50,184,20.444444444444443,19,2.111111111111111,13,1.4444444444444444,32,3.5555555555555554,23,2.5555555555555554,19,2.111111111111111,15,1.6666666666666667,14,1.5555555555555556,2,0.2222222222222222,12,1.3333333333333333,14644,9
7,Raynond,15/38,12/29,3/9,8/10,41,4.555555555555555,10,1.1111111111111112,5,0.5555555555555556,15,1.6666666666666667,9,1.0,3,0.3333333333333333,5,0.5555555555555556,3,0.3333333333333333,1,0.1111111111111111,5,0.5555555555555556,7416,9
8,Angel De Leon,31/81,5/17,26/64,5/9,93,10.333333333333334,13,1.4444444444444444,11,1.2222222222222223,24,2.6666666666666665,14,1.5555555555555556,5,0.5555555555555556,12,1.3333333333333333,10,1.1111111111111112,0,0.0,6,0.6666666666666666,14038,9
9,Wilfredo Rodriguez,11/20,11/20,0/0,3/14,25,2.7777777777777777,8,0.8888888888888888,13,1.4444444444444444,21,2.3333333333333335,7,0.7777777777777778,13,1.4444444444444444,4,0.4444444444444444,5,0.5555555555555556,2,0.2222222222222222,0,0.0,3518,9
10,Angel,11/37,11/33,0/4,10/14,32,3.5555555555555554,12,1.3333333333333333,23,2.5555555555555554,35,3.888888888888889,22,2.4444444444444446,5,0.5555555555555556,25,2.7777777777777777,12,1.3333333333333333,0,0.0,9,1.0,11878,9
11,Hector Colon,15/42,15/36,0/6,10/15,40,4.444444444444445,5,0.5555555555555556,13,1.4444444444444444,18,2.0,22,2.4444444444444446,7,0.7777777777777778,13,1.4444444444444444,15,1.6666666666666667,0,0.0,6,0.6666666666666666,12736,9
12,Davis Freytes,4/10,4/10,0/0,3/3,11,1.2222222222222223,6,0.6666666666666666,0,0.0,6,0.6666666666666666,8,0.8888888888888888,1,0.1111111111111111,1,0.1111111111111111,3,0.3333333333333333,0,0.0,1,0.1111111111111111,2301,9
13,Alexis Jimenez,12/29,9/20,3/9,7/14,34,3.7777777777777777,9,1.0,20,2.2222222222222223,29,3.2222222222222223,8,0.8888888888888888,8,0.8888888888888888,7,0.7777777777777778,6,0.6666666666666666,6,0.6666666666666666,5,0.5555555555555556,3813,9
