NUMERO,NOMBRE,TFG,2FG,3PT,FT,PTS,PTS_PER_MATCH,ORB,ORB_PER_MATCH,DRB,DRB_PER_MATCH,TR,TR_PER_MATCH,PF,PF_PER_MATCH,FD,FD_PER_MATCH,AST,AST_PER_MATCH,_TO,_TO_PER_MATCH,BS,BS_PER_MATCH,ST,ST_PER_MATCH,TIME_PLAYED_IN_SEC,TOTAL_MATCHES
4,Michael Rivera,4/7,4/5,0/2,1/1,9,2.25,2,0.5,2,0.5,4,1.0,2,0.5,0,0.0,11,2.75,2,0.5,0,0.0,1,0.25,2239,4
5,Jorge Velazquez,4/12,3/5,1/7,2/5,11,2.75,2,0.5,2,0.5,4,1.0,6,1.5,0,0.0,3,0.75,3,0.75,0,0.0,1,0.25,1742,4
6,Robiel,36/83,26/42,10/41,11/20,93,23.25,6,1.5,28,7.0,34,8.5,9,2.25,1,0.25,16,4.0,23,5.75,1,0.25,11,2.75,7682,4
7,Adalberto,10/28,8/22,2/6,3/3,25,6.25,3,0.75,13,3.25,16,4.0,7,1.75,0,0.0,4,1.0,3,0.75,0,0.0,5,1.25,3086,4
8,Christian Soltero,5/14,5/12,0/2,1/1,11,2.75,6,1.5,12,3.0,18,4.5,6,1.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2445,4
9,Ezequiel,0/6,0/1,0/5,1/3,1,0.25,0,0.0,3,0.75,3,0.75,6,1.5,1,0.25,0,0.0,0,0.0,0,0.0,1,0.25,1572,4
10,Jayram Medina,8/17,8/15,0/2,3/10,19,4.75,5,1.25,7,1.75,12,3.0,15,3.75,1,0.25,4,1.0,5,1.25,1,0.25,2,0.5,4046,4
11,Xavier,12/27,11/18,1/9,1/5,26,6.5,9,2.25,15,3.75,24,6.0,6,1.5,1,0.25,24,6.0,9,2.25,0,0.0,6,1.5,7697,4
12,John Barreto,23/65,7/22,16/43,5/10,67,16.75,5,1.25,3,0.75,8,2.0,10,2.5,0,0.0,8,2.0,13,3.25,0,0.0,8,2.0,7034,4
13,Jose Torres,15/31,8/13,7/18,5/6,42,10.5,4,1.0,10,2.5,14,3.5,3,0.75,2,0.5,2,0.5,7,1.75,0,0.0,3,0.75,4206,4
15,Shareef,16/34,13/27,3/7,9/16,44,11.0,12,3.0,25,6.25,37,9.25,11,2.75,3,0.75,3,0.75,8,2.0,3,0.75,3,0.75,6230,4
4,Michael Rivera,4/7,4/5,0/2,1/1,9,2.25,2,0.5,2,0.5,4,1.0,2,0.5,0,0.0,11,2.75,2,0.5,0,0.0,1,0.25,2239,4
8,Christian Soltero,5/14,5/12,0/2,1/1,11,2.75,6,1.5,12,3.0,18,4.5,6,1.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2445,4
9,Ezequiel,0/6,0/1,0/5,1/3,1,0.25,0,0.0,3,0.75,3,0.75,6,1.5,1,0.25,0,0.0,0,0.0,0,0.0,1,0.25,1572,4
12,John Barreto,23/65,7/22,16/43,5/10,67,16.75,5,1.25,3,0.75,8,2.0,10,2.5,0,0.0,8,2.0,13,3.25,0,0.0,8,2.0,7034,4
14,Christan Soltero,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21,3
7,Adalberto,10/28,8/22,2/6,3/3,25,6.25,3,0.75,13,3.25,16,4.0,7,1.75,0,0.0,4,1.0,3,0.75,0,0.0,5,1.25,3086,4
10,Jayram Medina,8/17,8/15,0/2,3/10,19,4.75,5,1.25,7,1.75,12,3.0,15,3.75,1,0.25,4,1.0,5,1.25,1,0.25,2,0.5,4046,4
