NUMERO,NOMBRE,TFG,2FG,3PT,FT,PTS,PTS_PER_MATCH,ORB,ORB_PER_MATCH,DRB,DRB_PER_MATCH,TR,TR_PER_MATCH,PF,PF_PER_MATCH,FD,FD_PER_MATCH,AST,AST_PER_MATCH,_TO,_TO_PER_MATCH,BS,BS_PER_MATCH,ST,ST_PER_MATCH,TIME_PLAYED_IN_SEC,TOTAL_MATCHES
4,Michael,38/79,31/52,7/27,7/20,90,7.5,13,1.0833333333333333,17,1.4166666666666667,30,2.5,22,1.8333333333333333,16,1.3333333333333333,31,2.5833333333333335,24,2.0,1,0.08333333333333333,23,1.9166666666666667,14938,12
5,Jorge Velazquez,15/56,10/21,5/35,4/9,39,3.25,16,1.3333333333333333,6,0.5,22,1.8333333333333333,16,1.3333333333333333,4,0.3333333333333333,11,0.9166666666666666,14,1.1666666666666667,0,0.0,7,0.5833333333333334,8714,12
6,Robiel Morales,57/139,36/63,21/76,30/57,165,13.75,26,2.1666666666666665,48,4.0,74,6.166666666666667,28,2.3333333333333335,28,2.3333333333333335,43,3.5833333333333335,31,2.5833333333333335,3,0.25,17,1.4166666666666667,17702,12
7,Adalberto,98/187,86/152,12/35,24/48,232,19.333333333333332,48,4.0,80,6.666666666666667,128,10.666666666666666,36,3.0,25,2.0833333333333335,21,1.75,29,2.4166666666666665,8,0.6666666666666666,25,2.0833333333333335,20305,12
8,Gustavo Sanabria,7/15,7/10,0/5,5/11,19,2.111111111111111,8,0.8888888888888888,12,1.3333333333333333,20,2.2222222222222223,7,0.7777777777777778,9,1.0,2,0.2222222222222222,4,0.4444444444444444,1,0.1111111111111111,4,0.4444444444444444,4486,9
9,Fernando Ramos,6/29,1/6,5/23,1/2,18,1.5,7,0.5833333333333334,7,0.5833333333333334,14,1.1666666666666667,19,1.5833333333333333,2,0.16666666666666666,8,0.6666666666666666,6,0.5,0,0.0,6,0.5,6270,12
10,Jayram Medina,14/33,14/31,0/2,7/23,35,2.9166666666666665,22,1.8333333333333333,18,1.5,40,3.3333333333333335,32,2.6666666666666665,14,1.1666666666666667,5,0.4166666666666667,10,0.8333333333333334,0,0.0,11,0.9166666666666666,6398,12
11,Xavier,21/92,18/76,3/16,22/42,67,5.583333333333333,45,3.75,44,3.6666666666666665,89,7.416666666666667,19,1.5833333333333333,25,2.0833333333333335,77,6.416666666666667,33,2.75,0,0.0,12,1.0,19681,12
12,Christian Soltero,51/129,33/59,18/70,31/42,151,12.583333333333334,12,1.0,24,2.0,36,3.0,26,2.1666666666666665,22,1.8333333333333333,31,2.5833333333333335,15,1.25,1,0.08333333333333333,20,1.6666666666666667,16177,12
13,Jose,54/145,32/66,22/79,21/34,151,12.583333333333334,8,0.6666666666666666,25,2.0833333333333335,33,2.75,25,2.0833333333333335,14,1.1666666666666667,30,2.5,22,1.8333333333333333,0,0.0,12,1.0,15326,12
14,John Barreto,2/3,2/2,0/1,0/0,4,0.4444444444444444,1,0.1111111111111111,0,0.0,1,0.1111111111111111,4,0.4444444444444444,1,0.1111111111111111,1,0.1111111111111111,1,0.1111111111111111,0,0.0,0,0.0,968,9
