NUMERO,NOMBRE,TFG,2FG,3PT,FT,PTS,PTS_PER_MATCH,ORB,ORB_PER_MATCH,DRB,DRB_PER_MATCH,TR,TR_PER_MATCH,PF,PF_PER_MATCH,FD,FD_PER_MATCH,AST,AST_PER_MATCH,_TO,_TO_PER_MATCH,BS,BS_PER_MATCH,ST,ST_PER_MATCH,TIME_PLAYED_IN_SEC,TOTAL_MATCHES
5,Yadier Marzan,25/57,24/46,1/11,20/26,71,10.142857142857142,4,0.5714285714285714,5,0.7142857142857143,9,1.2857142857142858,16,2.2857142857142856,7,1.0,18,2.5714285714285716,12,1.7142857142857142,0,0.0,13,1.8571428571428572,8404,7
6,Darret,42/121,30/67,12/54,16/24,112,16.0,9,1.2857142857142858,10,1.4285714285714286,19,2.7142857142857144,21,3.0,16,2.2857142857142856,19,2.7142857142857144,15,2.142857142857143,1,0.14285714285714285,10,1.4285714285714286,13319,7
7,Kaleb Serrano,16/36,16/34,0/2,5/6,37,5.285714285714286,12,1.7142857142857142,13,1.8571428571428572,25,3.5714285714285716,11,1.5714285714285714,7,1.0,3,0.42857142857142855,7,1.0,0,0.0,4,0.5714285714285714,4444,7
8,Helmis,36/79,25/43,11/36,3/6,86,12.285714285714286,6,0.8571428571428571,8,1.1428571428571428,14,2.0,20,2.857142857142857,9,1.2857142857142858,15,2.142857142857143,21,3.0,0,0.0,10,1.4285714285714286,12187,7
9,Fabian Sanchez,5/14,5/14,0/0,1/2,11,1.5714285714285714,7,1.0,0,0.0,7,1.0,1,0.14285714285714285,0,0.0,4,0.5714285714285714,5,0.7142857142857143,0,0.0,2,0.2857142857142857,1214,7
10,Michael Polanco,26/57,23/48,3/9,12/17,67,9.571428571428571,16,2.2857142857142856,21,3.0,37,5.285714285714286,14,2.0,4,0.5714285714285714,8,1.1428571428571428,9,1.2857142857142858,0,0.0,9,1.2857142857142858,8112,7
11,Alex Ortiz,17/38,14/34,3/4,1/6,38,5.428571428571429,19,2.7142857142857144,28,4.0,47,6.714285714285714,23,3.2857142857142856,3,0.42857142857142855,8,1.1428571428571428,20,2.857142857142857,3,0.42857142857142855,8,1.1428571428571428,9604,7
12,Janiel,36/77,34/68,2/9,21/43,95,13.571428571428571,24,3.4285714285714284,39,5.571428571428571,63,9.0,21,3.0,16,2.2857142857142856,28,4.0,39,5.571428571428571,9,1.2857142857142858,10,1.4285714285714286,13004,7
13,Jean,9/22,9/22,0/0,1/4,19,2.7142857142857144,13,1.8571428571428572,21,3.0,34,4.857142857142857,8,1.1428571428571428,2,0.2857142857142857,3,0.42857142857142855,12,1.7142857142857142,0,0.0,9,1.2857142857142858,7459,7
14,Michael,10/18,10/18,0/0,0/2,20,2.857142857142857,14,2.0,19,2.7142857142857144,33,4.714285714285714,16,2.2857142857142856,1,0.14285714285714285,2,0.2857142857142857,7,1.0,1,0.14285714285714285,10,1.4285714285714286,8250,7
15,Angel Rosario,4/7,4/5,0/2,1/2,9,1.2857142857142858,1,0.14285714285714285,3,0.42857142857142855,4,0.5714285714285714,2,0.2857142857142857,1,0.14285714285714285,0,0.0,3,0.42857142857142855,1,0.14285714285714285,1,0.14285714285714285,1003,7
5,Yadier Marzan,25/57,24/46,1/11,20/26,71,10.142857142857142,4,0.5714285714285714,5,0.7142857142857143,9,1.2857142857142858,16,2.2857142857142856,7,1.0,18,2.5714285714285716,12,1.7142857142857142,0,0.0,13,1.8571428571428572,8404,7
6,Darret,42/121,30/67,12/54,16/24,112,16.0,9,1.2857142857142858,10,1.4285714285714286,19,2.7142857142857144,21,3.0,16,2.2857142857142856,19,2.7142857142857144,15,2.142857142857143,1,0.14285714285714285,10,1.4285714285714286,13319,7
8,Helmis,36/79,25/43,11/36,3/6,86,12.285714285714286,6,0.8571428571428571,8,1.1428571428571428,14,2.0,20,2.857142857142857,9,1.2857142857142858,15,2.142857142857143,21,3.0,0,0.0,10,1.4285714285714286,12187,7
12,Janiel,36/77,34/68,2/9,21/43,95,13.571428571428571,24,3.4285714285714284,39,5.571428571428571,63,9.0,21,3.0,16,2.2857142857142856,28,4.0,39,5.571428571428571,9,1.2857142857142858,10,1.4285714285714286,13004,7
5,Yadier Marzan,25/57,24/46,1/11,20/26,71,10.142857142857142,4,0.5714285714285714,5,0.7142857142857143,9,1.2857142857142858,16,2.2857142857142856,7,1.0,18,2.5714285714285716,12,1.7142857142857142,0,0.0,13,1.8571428571428572,8404,7
6,Darret,42/121,30/67,12/54,16/24,112,16.0,9,1.2857142857142858,10,1.4285714285714286,19,2.7142857142857144,21,3.0,16,2.2857142857142856,19,2.7142857142857144,15,2.142857142857143,1,0.14285714285714285,10,1.4285714285714286,13319,7
11,Alex Ortiz,17/38,14/34,3/4,1/6,38,5.428571428571429,19,2.7142857142857144,28,4.0,47,6.714285714285714,23,3.2857142857142856,3,0.42857142857142855,8,1.1428571428571428,20,2.857142857142857,3,0.42857142857142855,8,1.1428571428571428,9604,7
14,Michael,10/18,10/18,0/0,0/2,20,2.857142857142857,14,2.0,19,2.7142857142857144,33,4.714285714285714,16,2.2857142857142856,1,0.14285714285714285,2,0.2857142857142857,7,1.0,1,0.14285714285714285,10,1.4285714285714286,8250,7
