NUMERO,NOMBRE,TFG,2FG,3PT,FT,PTS,PTS_PER_MATCH,ORB,ORB_PER_MATCH,DRB,DRB_PER_MATCH,TR,TR_PER_MATCH,PF,PF_PER_MATCH,FD,FD_PER_MATCH,AST,AST_PER_MATCH,_TO,_TO_PER_MATCH,BS,BS_PER_MATCH,ST,ST_PER_MATCH,TIME_PLAYED_IN_SEC,TOTAL_MATCHES
4,Janiel Feliciano,4/7,1/2,3/5,1/2,12,4.0,0,0.0,2,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,1,0.3333333333333333,3,1.0,4,1.3333333333333333,0,0.0,1,0.3333333333333333,1589,3
5,Mathew,15/43,11/27,4/16,12/16,46,15.333333333333334,6,2.0,12,4.0,18,6.0,4,1.3333333333333333,5,1.6666666666666667,7,2.3333333333333335,11,3.6666666666666665,0,0.0,3,1.0,5610,3
6,Bryan Seguinot,11/22,10/15,1/7,6/8,29,9.666666666666666,4,1.3333333333333333,8,2.6666666666666665,12,4.0,7,2.3333333333333335,2,0.6666666666666666,4,1.3333333333333333,6,2.0,0,0.0,6,2.0,3451,3
7,Joamil,6/22,4/9,2/13,6/8,20,6.666666666666667,6,2.0,6,2.0,12,4.0,10,3.3333333333333335,5,1.6666666666666667,15,5.0,4,1.3333333333333333,0,0.0,3,1.0,5315,3
8,Mathew Alvarez,4/7,4/7,0/0,1/2,9,3.0,3,1.0,2,0.6666666666666666,5,1.6666666666666667,4,1.3333333333333333,1,0.3333333333333333,0,0.0,3,1.0,1,0.3333333333333333,1,0.3333333333333333,953,3
9,Ricardo Ramos,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3
10,Jerremy Sonera,15/32,12/18,3/14,0/1,33,11.0,2,0.6666666666666666,19,6.333333333333333,21,7.0,13,4.333333333333333,2,0.6666666666666666,7,2.3333333333333335,10,3.3333333333333335,0,0.0,6,2.0,5243,3
11,Giovany Cajigas,6/9,6/8,0/1,1/2,13,4.333333333333333,2,0.6666666666666666,5,1.6666666666666667,7,2.3333333333333335,9,3.0,1,0.3333333333333333,4,1.3333333333333333,1,0.3333333333333333,0,0.0,0,0.0,3297,3
12,Felix Perez,0/0,0/0,0/0,0/0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.3333333333333333,0,0.0,1,0.3333333333333333,1,0.3333333333333333,0,0.0,0,0.0,395,3
13,Miguel,4/12,1/5,3/7,1/4,12,4.0,3,1.0,6,2.0,9,3.0,11,3.6666666666666665,1,0.3333333333333333,0,0.0,1,0.3333333333333333,2,0.6666666666666666,1,0.3333333333333333,3643,3
14,Chrisropher,13/29,7/11,6/18,2/4,34,11.333333333333334,1,0.3333333333333333,7,2.3333333333333335,8,2.6666666666666665,1,0.3333333333333333,6,2.0,3,1.0,6,2.0,0,0.0,3,1.0,3201,3
15,Rawy,10/19,10/17,0/2,6/8,26,8.666666666666666,5,1.6666666666666667,18,6.0,23,7.666666666666667,7,2.3333333333333335,9,3.0,1,0.3333333333333333,6,2.0,2,0.6666666666666666,2,0.6666666666666666,3148,3
10,Jerremy Sonera,15/32,12/18,3/14,0/1,33,11.0,2,0.6666666666666666,19,6.333333333333333,21,7.0,13,4.333333333333333,2,0.6666666666666666,7,2.3333333333333335,10,3.3333333333333335,0,0.0,6,2.0,5243,3
11,Giovany Cajigas,6/9,6/8,0/1,1/2,13,4.333333333333333,2,0.6666666666666666,5,1.6666666666666667,7,2.3333333333333335,9,3.0,1,0.3333333333333333,4,1.3333333333333333,1,0.3333333333333333,0,0.0,0,0.0,3297,3
14,Chrisropher,13/29,7/11,6/18,2/4,34,11.333333333333334,1,0.3333333333333333,7,2.3333333333333335,8,2.6666666666666665,1,0.3333333333333333,6,2.0,3,1.0,6,2.0,0,0.0,3,1.0,3201,3
15,Rawy,10/19,10/17,0/2,6/8,26,8.666666666666666,5,1.6666666666666667,18,6.0,23,7.666666666666667,7,2.3333333333333335,9,3.0,1,0.3333333333333333,6,2.0,2,0.6666666666666666,2,0.6666666666666666,3148,3
