NUMERO,NOMBRE,TFG,2FG,3PT,FT,PTS,PTS_PER_MATCH,ORB,ORB_PER_MATCH,DRB,DRB_PER_MATCH,TR,TR_PER_MATCH,PF,PF_PER_MATCH,FD,FD_PER_MATCH,AST,AST_PER_MATCH,_TO,_TO_PER_MATCH,BS,BS_PER_MATCH,ST,ST_PER_MATCH,TIME_PLAYED_IN_SEC,TOTAL_MATCHES
4,Luis A. Rigual,2/9,2/6,0/3,4/5,8,4.0,0,0.0,2,1.0,2,1.0,8,4.0,4,2.0,2,1.0,0,0.0,0,0.0,2,1.0,936,2
5,Sebastian Irizarry,2/6,1/3,1/3,0/0,5,2.5,3,1.5,2,1.0,5,2.5,1,0.5,0,0.0,4,2.0,3,1.5,0,0.0,2,1.0,2044,2
6,Edinel,7/13,2/6,5/7,2/2,21,10.5,4,2.0,1,0.5,5,2.5,1,0.5,4,2.0,11,5.5,4,2.0,0,0.0,3,1.5,2446,2
7,Merwing,16/36,7/14,9/22,3/4,44,22.0,3,1.5,12,6.0,15,7.5,7,3.5,3,1.5,6,3.0,8,4.0,0,0.0,3,1.5,4023,2
8,Sebastian,9/18,7/14,2/4,9/13,29,14.5,1,0.5,6,3.0,7,3.5,7,3.5,9,4.5,10,5.0,6,3.0,0,0.0,0,0.0,4068,2
9,Joseph,1/2,1/2,0/0,0/1,2,1.0,1,0.5,3,1.5,4,2.0,0,0.0,1,0.5,0,0.0,3,1.5,0,0.0,1,0.5,436,2
10,Geryad Rosario,2/8,2/7,0/1,0/0,4,2.0,3,1.5,5,2.5,8,4.0,3,1.5,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,1453,2
11,Juniel Lopez,4/10,4/9,0/1,2/5,10,5.0,3,1.5,3,1.5,6,3.0,3,1.5,4,2.0,1,0.5,2,1.0,0,0.0,3,1.5,1690,2
12,Ryan A. Gonzalez,7/9,5/6,2/3,1/4,17,8.5,1,0.5,5,2.5,6,3.0,4,2.0,2,1.0,0,0.0,2,1.0,0,0.0,0,0.0,2032,2
13,Giancarlo,3/15,0/2,3/13,0/0,9,4.5,4,2.0,3,1.5,7,3.5,2,1.0,0,0.0,3,1.5,2,1.0,0,0.0,4,2.0,2679,2
14,Guillermo Oliviery,4/9,4/9,0/0,1/2,9,4.5,3,1.5,5,2.5,8,4.0,4,2.0,2,1.0,0,0.0,1,0.5,1,0.5,1,0.5,893,2
15,Jariel Muniz,4/7,3/5,1/2,0/4,9,4.5,7,3.5,5,2.5,12,6.0,3,1.5,2,1.0,0,0.0,1,0.5,0,0.0,1,0.5,1300,2
9,Joseph,1/2,1/2,0/0,0/1,2,1.0,1,0.5,3,1.5,4,2.0,0,0.0,1,0.5,0,0.0,3,1.5,0,0.0,1,0.5,436,2
12,Ryan A. Gonzalez,7/9,5/6,2/3,1/4,17,8.5,1,0.5,5,2.5,6,3.0,4,2.0,2,1.0,0,0.0,2,1.0,0,0.0,0,0.0,2032,2
