NUMERO,NOMBRE,TFG,2FG,3PT,FT,PTS,PTS_PER_MATCH,ORB,ORB_PER_MATCH,DRB,DRB_PER_MATCH,TR,TR_PER_MATCH,PF,PF_PER_MATCH,FD,FD_PER_MATCH,AST,AST_PER_MATCH,_TO,_TO_PER_MATCH,BS,BS_PER_MATCH,ST,ST_PER_MATCH,TIME_PLAYED_IN_SEC,TOTAL_MATCHES
4,Luis,7/32,6/27,1/5,12/18,27,2.7,10,1.0,17,1.7,27,2.7,10,1.0,9,0.9,16,1.6,9,0.9,0,0.0,13,1.3,7547,10
5,Sebastian Irizarry,5/21,4/12,1/9,2/6,13,1.3,4,0.4,14,1.4,18,1.8,10,1.0,5,0.5,12,1.2,3,0.3,0,0.0,5,0.5,6503,10
6,Edinel Ramirez,50/112,35/62,15/50,54/67,169,16.9,6,0.6,26,2.6,32,3.2,21,2.1,41,4.1,41,4.1,21,2.1,3,0.3,13,1.3,15629,10
7,Merwing,48/105,24/41,24/64,11/17,131,13.1,6,0.6,30,3.0,36,3.6,31,3.1,14,1.4,20,2.0,17,1.7,3,0.3,17,1.7,16569,10
8,Sebastian,54/139,47/111,7/28,46/69,161,16.1,23,2.3,24,2.4,47,4.7,23,2.3,32,3.2,27,2.7,30,3.0,0,0.0,15,1.5,19566,10
9,Joseph Santiago,5/30,5/26,0/4,5/10,15,1.5,15,1.5,18,1.8,33,3.3,16,1.6,5,0.5,4,0.4,12,1.2,3,0.3,3,0.3,5240,10
10,Geryad Rosario,14/36,14/28,0/8,6/10,34,3.4,15,1.5,26,2.6,41,4.1,19,1.9,4,0.4,7,0.7,13,1.3,2,0.2,6,0.6,6643,10
11,Juniel Lopez,43/87,40/73,3/14,8/10,97,9.7,14,1.4,22,2.2,36,3.6,28,2.8,5,0.5,3,0.3,12,1.2,0,0.0,5,0.5,10900,10
12,Ryan Gonzalez,8/24,7/18,1/6,4/4,21,2.1,6,0.6,15,1.5,21,2.1,17,1.7,2,0.2,3,0.3,4,0.4,1,0.1,0,0.0,5296,10
13,Giancarlo,30/75,10/19,20/56,6/8,86,8.6,6,0.6,28,2.8,34,3.4,18,1.8,4,0.4,13,1.3,12,1.2,2,0.2,4,0.4,11849,10
14,Gulliermo Olivieri,34/84,34/79,0/5,16/29,84,8.4,42,4.2,55,5.5,97,9.7,24,2.4,18,1.8,11,1.1,19,1.9,11,1.1,8,0.8,12903,10
15,Jariel,8/23,8/17,0/6,1/4,17,1.7,5,0.5,9,0.9,14,1.4,9,0.9,1,0.1,3,0.3,2,0.2,1,0.1,3,0.3,2863,10
4,Luis,7/32,6/27,1/5,12/18,27,2.7,10,1.0,17,1.7,27,2.7,10,1.0,9,0.9,16,1.6,9,0.9,0,0.0,13,1.3,7547,10
6,Edinel Ramirez,50/112,35/62,15/50,54/67,169,16.9,6,0.6,26,2.6,32,3.2,21,2.1,41,4.1,41,4.1,21,2.1,3,0.3,13,1.3,15629,10
9,Joseph Santiago,5/30,5/26,0/4,5/10,15,1.5,15,1.5,18,1.8,33,3.3,16,1.6,5,0.5,4,0.4,12,1.2,3,0.3,3,0.3,5240,10
12,Ryan Gonzalez,8/24,7/18,1/6,4/4,21,2.1,6,0.6,15,1.5,21,2.1,17,1.7,2,0.2,3,0.3,4,0.4,1,0.1,0,0.0,5296,10
13,Giancarlo,30/75,10/19,20/56,6/8,86,8.6,6,0.6,28,2.8,34,3.4,18,1.8,4,0.4,13,1.3,12,1.2,2,0.2,4,0.4,11849,10
14,Gulliermo Olivieri,34/84,34/79,0/5,16/29,84,8.4,42,4.2,55,5.5,97,9.7,24,2.4,18,1.8,11,1.1,19,1.9,11,1.1,8,0.8,12903,10
15,Jariel,8/23,8/17,0/6,1/4,17,1.7,5,0.5,9,0.9,14,1.4,9,0.9,1,0.1,3,0.3,2,0.2,1,0.1,3,0.3,2863,10
12,Ryan Gonzalez,8/24,7/18,1/6,4/4,21,2.1,6,0.6,15,1.5,21,2.1,17,1.7,2,0.2,3,0.3,4,0.4,1,0.1,0,0.0,5296,10
4,Luis,7/32,6/27,1/5,12/18,27,2.7,10,1.0,17,1.7,27,2.7,10,1.0,9,0.9,16,1.6,9,0.9,0,0.0,13,1.3,7547,10
6,Edinel Ramirez,50/112,35/62,15/50,54/67,169,16.9,6,0.6,26,2.6,32,3.2,21,2.1,41,4.1,41,4.1,21,2.1,3,0.3,13,1.3,15629,10
11,Juniel Lopez,43/87,40/73,3/14,8/10,97,9.7,14,1.4,22,2.2,36,3.6,28,2.8,5,0.5,3,0.3,12,1.2,0,0.0,5,0.5,10900,10
9,Joseph Santiago,5/30,5/26,0/4,5/10,15,1.5,15,1.5,18,1.8,33,3.3,16,1.6,5,0.5,4,0.4,12,1.2,3,0.3,3,0.3,5240,10
14,Gulliermo Olivieri,34/84,34/79,0/5,16/29,84,8.4,42,4.2,55,5.5,97,9.7,24,2.4,18,1.8,11,1.1,19,1.9,11,1.1,8,0.8,12903,10
