NUMERO,NOMBRE,TFG,2FG,3PT,FT,PTS,PTS_PER_MATCH,ORB,ORB_PER_MATCH,DRB,DRB_PER_MATCH,TR,TR_PER_MATCH,PF,PF_PER_MATCH,FD,FD_PER_MATCH,AST,AST_PER_MATCH,_TO,_TO_PER_MATCH,BS,BS_PER_MATCH,ST,ST_PER_MATCH,TIME_PLAYED_IN_SEC,TOTAL_MATCHES
4,Hector Irizarry,18/48,17/42,1/6,2/7,39,3.5454545454545454,7,0.6363636363636364,9,0.8181818181818182,16,1.4545454545454546,17,1.5454545454545454,6,0.5454545454545454,9,0.8181818181818182,18,1.6363636363636365,0,0.0,6,0.5454545454545454,12629,11
5,Luis,67/163,48/103,19/60,12/29,165,15.0,10,0.9090909090909091,33,3.0,43,3.909090909090909,27,2.4545454545454546,11,1.0,48,4.363636363636363,41,3.727272727272727,0,0.0,34,3.090909090909091,22636,11
6,Michael Rodriguez,4/8,3/7,1/1,1/4,10,0.9090909090909091,0,0.0,6,0.5454545454545454,6,0.5454545454545454,7,0.6363636363636364,1,0.09090909090909091,3,0.2727272727272727,5,0.45454545454545453,0,0.0,2,0.18181818181818182,4572,11
7,Jan,35/88,28/59,7/29,27/49,104,9.454545454545455,13,1.1818181818181819,25,2.272727272727273,38,3.4545454545454546,24,2.1818181818181817,12,1.0909090909090908,14,1.2727272727272727,14,1.2727272727272727,4,0.36363636363636365,13,1.1818181818181819,14492,11
8,Jepcer Ruiz,36/104,12/33,24/71,6/9,102,9.272727272727273,7,0.6363636363636364,17,1.5454545454545454,24,2.1818181818181817,19,1.7272727272727273,2,0.18181818181818182,20,1.8181818181818181,14,1.2727272727272727,0,0.0,13,1.1818181818181819,15270,11
9,Bryan Maldonado,22/55,17/37,5/18,10/12,59,5.363636363636363,7,0.6363636363636364,15,1.3636363636363635,22,2.0,17,1.5454545454545454,7,0.6363636363636364,12,1.0909090909090908,14,1.2727272727272727,1,0.09090909090909091,6,0.5454545454545454,9482,11
10,Sebastian,48/99,37/60,11/39,17/22,124,11.272727272727273,20,1.8181818181818181,60,5.454545454545454,80,7.2727272727272725,20,1.8181818181818181,4,0.36363636363636365,28,2.5454545454545454,17,1.5454545454545454,2,0.18181818181818182,7,0.6363636363636364,12267,11
11,Kevin Martinez,2/10,2/10,0/0,0/2,4,0.36363636363636365,2,0.18181818181818182,6,0.5454545454545454,8,0.7272727272727273,3,0.2727272727272727,1,0.09090909090909091,3,0.2727272727272727,0,0.0,1,0.09090909090909091,1,0.09090909090909091,2964,11
12,Josean,67/114,67/111,0/3,41/54,175,15.909090909090908,37,3.3636363636363638,46,4.181818181818182,83,7.545454545454546,29,2.6363636363636362,16,1.4545454545454546,14,1.2727272727272727,17,1.5454545454545454,4,0.36363636363636365,4,0.36363636363636365,16082,11
13,Bradley Padilla,7/18,7/15,0/3,9/12,23,2.090909090909091,10,0.9090909090909091,15,1.3636363636363635,25,2.272727272727273,20,1.8181818181818181,2,0.18181818181818182,5,0.45454545454545453,3,0.2727272727272727,3,0.2727272727272727,1,0.09090909090909091,5682,11
14,Airam Morales,4/15,4/10,0/5,2/4,10,0.9090909090909091,8,0.7272727272727273,12,1.0909090909090908,20,1.8181818181818181,11,1.0,3,0.2727272727272727,4,0.36363636363636365,6,0.5454545454545454,1,0.09090909090909091,0,0.0,6102,11
15,Jeremy,16/34,14/24,2/10,0/0,34,3.090909090909091,5,0.45454545454545453,43,3.909090909090909,48,4.363636363636363,14,1.2727272727272727,1,0.09090909090909091,11,1.0,17,1.5454545454545454,4,0.36363636363636365,15,1.3636363636363635,9822,11
